id;title;description;start_date;end_date;status;location;rate
1;mobile Ball Intuitive;auxiliary TCP Molière;2021-10-11T16:07:33;2021-10-11T12:56:12;CANCEL;ONSITE;50947
2;microchip invoice c;Open-architected Russie cross-media;2021-10-11T17:07:49;2021-10-12T02:58:50;VALIDATED;ONLINE;84021
3;Centre;copy withdrawal Sleek;2021-10-12T06:47:20;2021-10-12T08:49:13;PENDING;ONLINE;23174
4;Shoes Unbranded redundant;Wooden withdrawal copying;2021-10-11T20:22:24;2021-10-12T02:54:29;CANCEL;ONLINE;16146
5;bluetooth Small;Bedfordshire didactic;2021-10-11T20:03:19;2021-10-11T21:49:09;DONE;ONLINE;33824
6;c archive Practical;Avon matrices;2021-10-12T02:30:42;2021-10-11T20:47:29;DONE;ONSITE;52142
7;value-added JBOD Corse;Agent;2021-10-11T20:52:23;2021-10-11T13:55:17;DONE;ONSITE;3893
8;Grenade Ergonomic;complexity Baby;2021-10-12T09:40:34;2021-10-11T22:00:40;PENDING;ONSITE;64469
9;tolerance;Canada c Consultant;2021-10-12T05:07:34;2021-10-12T00:37:33;DONE;ONLINE;29245
10;invoice des;Rustic;2021-10-11T18:25:45;2021-10-11T21:10:42;PENDING;ONSITE;70292
