id;title;description;location;start_date;end_date;is_published;author_id
1;Tuna integrated deposit;holistic SAS;Cambridgeshire fuchsia;2021-10-11T21:25:58;2021-10-11T15:42:57;false;1
2;Account out-of-the-box Shoes;Jamaïque 24/7;mobile;2021-10-12T03:41:07;2021-10-11T14:18:40;false;2
3;Dollar;Triple-buffered;Ball;2021-10-12T10:02:31;2021-10-11T14:18:34;true;1
4;upward-trending Frozen;Checking calculate;c copy;2021-10-12T02:23:48;2021-10-12T08:39:44;false;1
5;Agent;RSS;Card Bedfordshire;2021-10-12T02:12:28;2021-10-11T22:11:45;false;2
6;Metal;Île-de-France Tuna;lavender;2021-10-11T19:40:20;2021-10-11T18:02:04;true;2
7;transitional;mint AI;PCI Cuban Fresh;2021-10-11T20:20:37;2021-10-12T06:32:59;false;2
8;Kids invoice function;Account Organic a;Steel;2021-10-11T22:40:27;2021-10-12T06:20:14;true;1
9;Sleek;Berkshire Producteur;Lorraine;2021-10-11T16:17:22;2021-10-12T08:42:21;false;1
10;logistical;maximized b c;panel Tools transmitting;2021-10-12T09:21:30;2021-10-12T00:49:47;true;2
