id;origin;action;action_date;author_id
1;sensor Manager;Lanka modular North;2021-10-11T12:19:55;1
2;Consultant d'Azur composite;copying;2021-10-11T22:42:47;2
3;Concrete mobile parse;Licensed plug-and-play Birmanie;2021-10-12T05:03:19;1
4;invoice USB green;Mouffetard;2021-10-12T05:35:43;2
5;Optional parse;discrete;2021-10-12T04:32:54;2
6;Salomon Shoes context-sensitive;Dollar Rubber d'Assas;2021-10-12T00:54:46;1
7;teal solution-oriented;THX sky AGP;2021-10-12T06:11:43;2
8;Kids;Agent a;2021-10-11T11:08:55;1
9;Haute-Normandie;Refined l'Abbaye Plastic;2021-10-12T02:24:03;2
10;Wooden didactic;invoice ivory Auvergne;2021-10-11T15:44:23;1
