id;title;description;created_at;author_id
1;niches Computer;hack Tasty internet;2021-10-12T06:48:30;1
2;methodologies analyzing Grocery;deposit maximize;2021-10-11T16:54:39;2
3;card systems;synthesizing;2021-10-12T08:51:25;2
4;platforms Platinum;invoice;2021-10-11T11:00:45;1
5;c Personal;Lithuanian pixel e-services;2021-10-12T05:43:27;1
6;cohesive;infomediaries Granite;2021-10-11T18:32:55;1
7;Soft Reverse-engineered;metrics;2021-10-11T18:11:27;1
8;b;global Cotton hack;2021-10-11T14:09:02;1
9;payment payment;tan withdrawal;2021-10-11T18:58:20;2
10;b;Forint connect;2021-10-12T02:04:30;1
