id;name;description;address;email;phone;country_id;administrator_id
1;index Loan Midi-Pyrénées;content-based Malte Garden;Brésil Producteur;"N\MS@e0}v+i.7";+33 470532720;1;1
2;e-business Wooden;impactful superstructure;Investment copying;"JZBXV@FV+2[v.D<";+33 362909918;2;2
3;Limousin transmitting;application override;b Avon Home;"WnD@-+N3mU.2$TtP";0650454894;3;1
4;invoice;transmitting withdrawal;Handmade Chicken;"y,@+l3x=z.c";+33 797250556;4;2
5;Devolved magnetic;grid-enabled;content Shoes;"Kj$~-@,PgD.Kj!";+33 144707949;5;2
6;Technicien;Guarani;Avon;"Cb@3.Scrb";0644144416;6;1
7;JBOD;Niger;tan;"rKGe|?@1X.evO5z";+33 624527968;7;1
8;a;calculating Alsace Profit-focused;withdrawal;"Trk@?yY5RV.k";0572503650;8;1
9;compress Small Visionary;deposit;Laffitte digital b;"/VaLC@|[zu%.=";+33 636504832;9;2
10;HTTP global markets;6th panel a;Organized;"Gf@%le9-.q\s2'g";0122628863;10;1
